Designator,Mid X,Mid Y,Layer,Rotation
1,32.44,58.28,Top,0.0
2,68.30,74.60,Top,90.0
3,68.30,70.10,Top,90.0
10K,39.27,67.69,Bottom,270.0
10K1,46.60,76.03,Bottom,270.0
10K2,41.50,67.68,Bottom,270.0
10K3,48.90,76.06,Bottom,270.0
330,32.41,60.60,Top,0.0
AC1,140.12,81.80,Top,0.0
C1,62.64,30.19,Top,90.0
C2,65.13,30.16,Top,90.0
C3,157.73,31.28,Top,180.0
C4,62.28,12.87,Top,180.0
C5,62.29,14.95,Top,180.0
C6,157.73,37.48,Top,180.0
C7,67.21,13.98,Top,0.0
C8,67.24,11.81,Top,0.0
C9,67.21,16.37,Top,0.0
C10,29.02,84.09,Bottom,0.0
C11,29.03,81.68,Bottom,0.0
D1,137.94,25.77,Bottom,270.0
D2,65.63,74.70,Bottom,270.0
D3,71.65,74.66,Bottom,270.0
D4,77.68,74.63,Bottom,270.0
D5,83.72,74.64,Bottom,270.0
D6,89.77,74.65,Bottom,270.0
D7,95.81,74.65,Bottom,270.0
D8,101.84,74.66,Bottom,270.0
D9,107.87,74.65,Bottom,270.0
D10,113.94,74.64,Bottom,270.0
D11,119.96,74.64,Bottom,270.0
D12,125.96,74.63,Bottom,270.0
D13,132.00,74.62,Bottom,270.0
D14,66.88,25.05,Bottom,90.0
D15,72.90,25.05,Bottom,90.0
D16,78.92,25.04,Bottom,90.0
D17,84.93,25.03,Bottom,90.0
D18,90.96,25.03,Bottom,90.0
D19,97.04,25.03,Bottom,90.0
D20,103.07,25.03,Bottom,90.0
D21,109.11,25.03,Bottom,90.0
D22,115.17,25.02,Bottom,90.0
D23,121.22,25.02,Bottom,90.0
D24,127.30,25.02,Bottom,90.0
D25,133.34,25.01,Bottom,90.0
D26,45.83,87.36,Bottom,180.0
D27,45.82,84.74,Bottom,180.0
D28,48.96,23.14,Top,270.0
D29,51.14,23.14,Top,270.0
D30,29.14,57.96,Top,270.0
D31,26.48,57.94,Top,270.0
D32,63.41,74.71,Bottom,270.0
D33,69.45,74.65,Bottom,270.0
D34,75.48,74.64,Bottom,270.0
D35,81.52,74.63,Bottom,270.0
D36,87.56,74.65,Bottom,270.0
D37,93.60,74.65,Bottom,270.0
D38,99.62,74.66,Bottom,270.0
D39,105.67,74.65,Bottom,270.0
D40,111.74,74.63,Bottom,270.0
D41,117.76,74.63,Bottom,270.0
D42,123.79,74.64,Bottom,270.0
D43,129.80,74.61,Bottom,270.0
D44,64.67,25.05,Bottom,90.0
D45,70.69,25.06,Bottom,90.0
D46,76.74,25.04,Bottom,90.0
D47,82.73,25.04,Bottom,90.0
D48,88.76,25.03,Bottom,90.0
D49,94.84,25.03,Bottom,90.0
D50,100.87,25.03,Bottom,90.0
D51,106.91,25.03,Bottom,90.0
D52,112.96,25.03,Bottom,90.0
D53,119.01,25.02,Bottom,90.0
D54,125.08,25.02,Bottom,90.0
D55,131.12,25.01,Bottom,90.0
D56,72.50,73.10,Top,270.0
D146,154.71,17.37,Top,0.0
IC1,120.12,49.41,Bottom,90.0
IC4,83.74,49.39,Bottom,90.0
J1,52.24, 9.78,Top,0.0
JP1,63.10,50.63,Top,90.0
K1,144.05,25.51,Top,270.0
K2,141.40,70.10,Top,0.0
LED1,73.47,66.92,Top,90.0
LED2,78.73,66.93,Top,90.0
LED3,83.82,66.94,Top,90.0
LED4,88.91,66.95,Top,90.0
LED5,93.95,66.96,Top,90.0
LED6,99.03,66.95,Top,90.0
LED7,104.05,66.96,Top,90.0
LED8,109.18,66.97,Top,90.0
LED9,114.25,66.97,Top,90.0
LED10,119.33,66.96,Top,90.0
LED11,124.44,66.95,Top,90.0
LED12,129.42,66.94,Top,90.0
LED13,72.71,32.89,Top,270.0
LED14,78.53,32.88,Top,270.0
LED15,83.53,32.87,Top,270.0
LED16,88.23,32.89,Top,270.0
LED17,93.82,32.89,Top,270.0
LED18,98.98,32.88,Top,270.0
LED19,104.03,32.89,Top,270.0
LED20,108.96,32.89,Top,270.0
LED21,114.13,32.90,Top,270.0
LED22,119.33,32.88,Top,270.0
LED23,124.39,32.88,Top,270.0
LED24,129.51,32.87,Top,270.0
LED25,160.22,65.30,Top,0.0
LED27,156.92,55.40,Top,0.0
LED28,156.22,45.40,Top,0.0
MT1,21.42,58.45,Bottom,90.0
OPTO1,70.00,56.67,Top,270.0
OPTO2,77.17,56.68,Top,270.0
OPTO3,84.36,56.67,Top,270.0
OPTO4,91.52,56.68,Top,270.0
OPTO5,98.70,56.68,Top,270.0
OPTO6,105.86,56.67,Top,270.0
OPTO7,113.07,56.67,Top,270.0
OPTO8,120.28,56.68,Top,270.0
OPTO9,127.49,56.68,Top,270.0
OPTO10,134.68,56.68,Top,270.0
OPTO11,141.87,56.68,Top,270.0
OPTO12,149.07,56.66,Top,270.0
OPTO13,70.00,44.98,Top,90.0
OPTO14,77.20,44.97,Top,90.0
OPTO15,84.36,44.99,Top,90.0
OPTO16,91.55,44.99,Top,90.0
OPTO17,98.72,45.00,Top,90.0
OPTO18,105.85,45.02,Top,90.0
OPTO19,113.09,45.02,Top,90.0
OPTO20,120.30,45.02,Top,90.0
OPTO21,127.51,45.02,Top,90.0
OPTO22,134.71,45.05,Top,90.0
OPTO23,141.83,45.03,Top,90.0
OPTO24,149.06,45.02,Top,90.0
PS1,56.45,72.42,Top,180.0
Q1,142.31,25.67,Bottom,180.0
Q2,63.89,35.20,Top,180.0
Q3,40.37,75.15,Bottom,270.0
Q4,40.40,79.35,Bottom,270.0
Q5,49.72,69.10,Bottom,270.0
Q6,49.77,64.65,Bottom,270.0
Q7,63.30,62.20,Top,270.0
R1,76.06,76.24,Top,270.0
R2,81.28,76.23,Top,270.0
R3,86.43,76.24,Top,270.0
R4,91.36,76.22,Top,270.0
R5,96.52,76.22,Top,270.0
R6,101.54,76.23,Top,270.0
R7,106.61,76.26,Top,270.0
R8,111.67,76.26,Top,270.0
R9,116.73,76.29,Top,270.0
R10,121.91,76.28,Top,270.0
R11,126.93,76.29,Top,270.0
R12,131.91,76.28,Top,270.0
R13,76.09,23.54,Top,90.0
R14,81.02,23.55,Top,90.0
R15,86.05,23.52,Top,90.0
R16,91.30,23.55,Top,90.0
R17,96.29,23.55,Top,90.0
R18,101.60,23.54,Top,90.0
R19,106.51,23.55,Top,90.0
R20,111.52,23.58,Top,90.0
R21,116.75,23.60,Top,90.0
R22,121.89,23.58,Top,90.0
R23,126.86,23.54,Top,90.0
R24,132.15,23.53,Top,90.0
R25,28.76,77.39,Bottom,90.0
R26,31.35,77.38,Bottom,270.0
R27,15.92,43.02,Top,90.0
R28,18.21,43.01,Top,90.0
R29,48.96,19.33,Top,270.0
R30,51.15,19.35,Top,270.0
R31,156.28,60.47,Top,180.0
R32,156.36,50.35,Top,180.0
R33,156.12,41.65,Top,180.0
R49,72.68,43.31,Bottom,180.0
R50,72.68,45.58,Bottom,180.0
R51,72.70,47.87,Bottom,180.0
R52,72.72,50.29,Bottom,180.0
R53,72.70,52.60,Bottom,180.0
R54,72.71,55.01,Bottom,180.0
R55,72.73,57.41,Bottom,180.0
R56,72.72,59.90,Bottom,180.0
R57,94.55,59.93,Bottom,0.0
R58,94.56,57.46,Bottom,0.0
R59,94.56,55.02,Bottom,0.0
R60,94.55,52.60,Bottom,0.0
R61,94.59,50.24,Bottom,0.0
R62,94.56,47.85,Bottom,0.0
R63,94.53,45.57,Bottom,0.0
R64,94.57,43.30,Bottom,0.0
R65,110.49,43.27,Bottom,180.0
R66,110.48,45.58,Bottom,180.0
R67,110.43,47.83,Bottom,180.0
R68,110.45,50.26,Bottom,180.0
R69,110.44,52.60,Bottom,180.0
R70,110.44,55.03,Bottom,180.0
R71,110.43,57.45,Bottom,180.0
R72,110.41,59.91,Bottom,180.0
R97,91.24,39.75,Bottom,90.0
R98,88.10,39.75,Bottom,90.0
R99,127.22,39.72,Bottom,90.0
R100,124.39,39.74,Bottom,90.0
R103,76.27,39.75,Bottom,270.0
R104,79.20,39.76,Bottom,270.0
R105,82.14,39.76,Bottom,270.0
R106,85.04,39.76,Bottom,270.0
R107,113.66,39.78,Bottom,90.0
R108,121.52,39.75,Bottom,270.0
R109,118.87,39.76,Bottom,270.0
R110,116.20,39.76,Bottom,270.0
R115,154.75,19.75,Top,180.0
R116,154.68,27.22,Top,180.0
S1,14.36,34.00,Top,270.0
S2,14.35,15.50,Top,270.0
TTL-RS1,144.57,57.00,Bottom,270.0
U$1,44.95, 8.38,Top,180.0
U1,56.73,25.08,Top,0.0
U2,18.47,57.78,Top,180.0
U3,47.83,47.69,Top,270.0
U4,22.88,46.52,Top,270.0
U5,29.15,46.50,Top,270.0
U6,63.80,70.70,Top,270.0
U49,159.72,21.95,Top,90.0
X1,102.31,91.15,Top,180.0
X2,102.22, 8.34,Top,0.0
X5,142.46,91.14,Top,180.0
X6,142.33, 8.32,Top,0.0
X7,157.20,91.11,Top,180.0
X8,157.07, 8.31,Top,0.0
Z1,61.50,74.72,Bottom,270.0
Z2,67.57,74.68,Bottom,270.0
Z3,73.57,74.65,Bottom,270.0
Z4,79.60,74.63,Bottom,270.0
Z5,85.66,74.64,Bottom,270.0
Z6,91.69,74.64,Bottom,270.0
Z7,97.72,74.65,Bottom,270.0
